编号,姓名,部门,电子邮箱,电话号码,身份证号码
10932,张珊,管理,zhans@163.com,18612345678,520125197907167551
10933,李思,软件,lisi@163.com,18612345679,5101101912176250
10934,王武,财务,wangwu@example.com,18612345680,510102196510255826
10935,赵柳,财务,zhaoliu@163.com,18612345681,510115195810287715
10936,钱棋,人事,qianqi@example.com,18612345682,510103196707165650
10941,张明,管理,zhangming@example.com,18612345683,51010519811216015
10942,赵敏,人事,zhaomin@163.com,18612345684,510105198505225815
10945,王红,培训,wanghong@example.com,18612345685,510221196208516555
10946,李萧,培训,lixiao@example.com,18612345686,510221196601510810
10947,孙科,软件,sunke@163.com,18612345687,510105198507025519
10948,刘利,软件,liuli@example.com,18612345688,510227197510280527
